Subúrbio,Endereço,Salas,Tipo,Distância,Código Postal,Quartos,Banheiros,Garagem,Tamanho do Terreno,Área Construída,Ano de Construção,Latitude,Longitude,Quantidade de Imóveis na Região,Preço,Preço Previsto LightGBM,Erro Percentual
Abbotsford,85 Turner St,2,Casa,2.5,3067.0,2.0,1.0,1.0,202.0,,,-37.7996,144.9984,4019.0,"$1,480,000.00","$1,178,654.71",20.36%
Abbotsford,25 Bloomburg St,2,Casa,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,4019.0,"$1,035,000.00","$1,093,231.60",5.63%
Abbotsford,5 Charles St,3,Casa,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,4019.0,"$1,465,000.00","$1,287,105.80",12.14%
Abbotsford,40 Federation La,3,Casa,2.5,3067.0,3.0,2.0,1.0,94.0,,,-37.7969,144.9969,4019.0,"$850,000.00","$1,175,751.28",38.32%
Abbotsford,55a Park St,4,Casa,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0,"$1,600,000.00","$1,368,516.14",14.47%
Abbotsford,129 Charles St,2,Casa,2.5,3067.0,2.0,1.0,0.0,181.0,,,-37.8041,144.9953,4019.0,"$941,000.00","$1,140,032.79",21.15%
Abbotsford,124 Yarra St,3,Casa,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,4019.0,"$1,876,000.00","$1,590,351.68",15.23%
Abbotsford,98 Charles St,2,Casa,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,4019.0,"$1,636,000.00","$1,253,397.30",23.39%
Abbotsford,217 Langridge St,3,Casa,2.5,3067.0,,,,,,,,,4019.0,"$1,000,000.00","$1,288,022.13",28.80%
Abbotsford,18a Mollison St,2,Terreno,2.5,3067.0,,,,,,,,,4019.0,"$745,000.00","$834,047.35",11.95%
Abbotsford,6/241 Nicholson St,1,Apartamento,2.5,3067.0,1.0,1.0,1.0,0.0,,,-37.8008,144.9973,4019.0,"$300,000.00","$406,777.59",35.59%
Abbotsford,10 Valiant St,2,Casa,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,4019.0,"$1,097,000.00","$1,213,605.66",10.63%
Abbotsford,403/609 Victoria St,2,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$542,000.00","$653,822.57",20.63%
Abbotsford,25/84 Trenerry Cr,2,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$760,000.00","$620,667.50",18.33%
Abbotsford,106/119 Turner St,1,Apartamento,2.5,3067.0,,,,,,,,,4019.0,"$481,000.00","$379,094.90",21.19%
